name,population,area
종로구,"158,996",23.91
중구,"134,635",9.96
용산구,"244,645",21.87
성동구,"300,505",16.86
광진구,"360,109",17.06
동대문구,"357,014",14.22
중랑구,"399,562",18.5
성북구,"447,056",24.58
강북구,"311,569",23.6
도봉구,"327,361",20.65
노원구,"527,032",35.44
은평구,"484,043",29.71
서대문구,"322,952",17.63
마포구,"381,858",23.85
양천구,"457,781",17.41
강서구,"585,901",41.44
구로구,"432,488",20.12
금천구,"247,835",13.02
영등포구,"407,367",24.55
동작구,"401,572",16.35
관악구,"509,803",29.57
서초구,"429,025",46.98
강남구,"544,055",39.5
송파구,"673,926",33.87
강동구,"463,998",24.59
